Camera,JDay,Peromyscus,Chipmunk,Neotoma,Cottontail,Rock Squirrel,Grey fox,Elk,Jackrabbit,Deer,Bat,rich,Cluster,Treatment,Lzeq,Laeq,Lux,Lat,Long,Elevation,Landcover,M_Illum,PMU,mIndex
PT11_7,169.5,0,0,0,0,0,0,0,0,0,0,0,Yellow,Combined,75.9,48.4,1.3,36.90125898,-107.7115,1960.150513,Shrubland,0.974966102,0.814873499,0.794474038
PT11_8,169.5,0,0,0,0,0,0,0,0,0,0,0,Yellow,Combined,78.5,49.2,0.06,36.901392,-107.711337,1957.996704,Shrubland,0.974966102,0.814873499,0.794474038
PT11_9,169.5,0,0,0,0,0,0,0,0,0,0,0,Yellow,Combined,79.2,44.6,0.09,36.90263797,-107.71157,1963.943481,Shrubland,0.974966102,0.814873499,0.794474038
PT13_1,149,39,0,0,0,0,0,0,0,0,0,1,Blue,Noise,67.9,51.5,0,36.894939,-107.615749,1991.038208,Woodland,0.236831005,0.258813077,0.061294961
PT13_2,148.5,228,0,0,0,0,0,0,0,0,0,1,Blue,Noise,63.5,47.5,0,36.89499,-107.616009,1994.944946,Woodland,0.285399919,0.284109808,0.081084916
PT13_3,148.5,5,0,0,0,0,0,0,0,0,0,1,Blue,Noise,66.1,49.9,0,36.89512,-107.614508,1982.469849,Woodland,0.285399919,0.284109808,0.081084916
PT13_4,148.5,144,0,0,0,0,0,0,0,0,0,1,Blue,Noise,64.9,49.2,0,36.895261,-107.614259,1983.419312,Woodland,0.285399919,0.284109808,0.081084916
PT13_5,148.5,22,0,0,0,0,0,0,0,0,0,1,Blue,Noise,67.4,45.6,0,36.893808,-107.613491,1968.188843,Woodland,0.285399919,0.284109808,0.081084916
PT13_6,149,18,0,0,0,0,0,0,0,0,0,1,Blue,Noise,66.6,46.4,0,36.893615,-107.613558,1974.77771,Woodland,0.236831005,0.258813077,0.061294961
PT13_7,148.5,34,0,0,0,0,0,0,0,0,0,1,Blue,Noise,71.9,55.4,0,36.893613,-107.613583,NA,Woodland,0.285399919,0.284109808,0.081084916
PT13_8,148.5,29,0,0,0,0,0,0,0,0,0,1,Blue,Noise,73,57.2,0,36.893516,-107.614514,NA,Shrubland,0.285399919,0.284109808,0.081084916
PT13_9,148.5,72,0,0,0,0,0,0,0,0,0,1,Blue,Noise,72.6,56.7,0,36.893543,-107.614798,NA,Woodland,0.285399919,0.284109808,0.081084916
PT14_1,153.5,0,0,0,0,0,0,0,0,0,0,0,Red,Combined,70.7,55.8,0,36.963828,-107.677615,2095.911621,Shrubland,0.014635002,0.087552851,0.001281336
PT14_10,154,1,0,0,0,0,0,0,0,0,0,1,Red,Combined,70.2,39.2,0,36.996144,-107.709095,2097.33,Shrubland,0.008311197,0.082819006,0.000688325
